Marque,Libelle_modele,Modele,Energie,Cylindree,Poids_a_vide,Essai_CO2_type_1,Essai_HC,Essai_Nox,Essai_HCNox,Prix_vehicule,PGR_CO2,PGR_HC,PGR_cumul
B.M.W.,SERIE_1,116,ESSENCE,1499,1340,0.072,0.014,0.008,,36260,0.072,0.35000000000000003,0.42200000000000004
B.M.W.,SERIE_2,218,GAZOLE,1995,1470,0.178,0.053000000000000005,0.013,0.066,43563,0.178,1.3250000000000002,1.5030000000000001
B.M.W.,M3,M3,ESSENCE,2993,1730,0.206,0.013,0.017,,102000,0.206,0.325,0.531
B.M.W.,SERIE_5,520,ELEC+GAZOLE_HR,1995,1840,0.1,0.029,0.019,0.048,63713,0.1,0.7250000000000001,0.8250000000000001
MERCEDES,CLASSE_V,V_300,GAZOLE,1950,2120,0.211,0.018,0.027,0.045,81025,0.211,0.44999999999999996,0.6609999999999999
SEAT,ATECA,ATECA,ESSENCE,999,1284,0.216,0.022,0.035,,30622,0.216,0.5499999999999999,0.7659999999999999
FORD,FIESTA,FIESTA,SUPERETHANOL,999,1114,0.393,0.036,0.01,,23090,0.393,0.8999999999999999,1.293
VOLKSWAGEN,ARTEON,ARTEON,GAZOLE,1968,1658,0.021,0.011000000000000003,0.038,0.049,62440,0.021,0.2750000000000001,0.2960000000000001
B.M.W.,SERIE_4,420,ESSENCE,1998,1525,0.355,0.027,0.014,,53100,0.355,0.675,1.03
HYUNDAI,I_20,I_20,ESS+ELEC_HNR,998,1090,0.366,0.026,0.019,,21975,0.366,0.65,1.016
B.M.W.,SERIE_2,218,ESSENCE,1499,1375,0.273,0.023,0.015,,40663,0.273,0.575,0.848
NISSAN,QASHQAI,QASHQAI,ESS+ELEC_HNR,1332,1457,0.312,0.015,0.024,,42920,0.312,0.375,0.687
MERCEDES,VITO_TOURER,VITO,GAZOLE,1950,1990,0.027,0.006999999999999999,0.017,0.024,47912,0.027,0.175,0.20199999999999999
B.M.W.,SERIE_X,X1,ESSENCE,1499,1500,0.075,0.009,0.008,,42463,0.075,0.22499999999999998,0.3
B.M.W.,SERIE_X,X4,ESS+ELEC_HNR,1998,1815,0.183,0.013,0.014,,63850,0.183,0.325,0.508
MINI,MINI,COUNTRYMAN,ESSENCE,1998,1480,0.135,0.018,0.014,,42588,0.135,0.44999999999999996,0.585
B.M.W.,SERIE_2,220,ELEC+GAZOLE_HR,1995,1580,0.097,0.02,0.018,0.038,48550,0.097,0.5,0.597
B.M.W.,SERIE_1,116,GAZOLE,1496,1375,0.059,0.017000000000000005,0.018,0.035,36260,0.059,0.4250000000000001,0.4840000000000001
B.M.W.,SERIE_X,X6,ELEC+GAZOLE_HR,2993,2215,0.096,0.012999999999999998,0.025,0.038,89225,0.096,0.32499999999999996,0.42099999999999993
OPEL,CROSSLAND,CROSSLAND_X,ESSENCE,1199,1179,0.32,0.026,0.03,,26933,0.32,0.65,0.97
VOLKSWAGEN,CADDY,CADDY,ESSENCE,1498,1467,0.245,0.029,0.031,,30620,0.245,0.7250000000000001,0.9700000000000001
B.M.W.,SERIE_X,X3,ELEC+GAZOLE_HR,1995,1840,0.165,0.044000000000000004,0.025,0.069,59100,0.165,1.1,1.2650000000000001
VOLKSWAGEN,KOMBI,KOMBI,GAZOLE,1968,1919,0.015,0.013999999999999999,0.033,0.047,60740,0.015,0.35,0.365
DACIA,SANDERO,SANDERO,ESSENCE,999,1072,0.241,0.036,0.029,,13790,0.241,0.8999999999999999,1.141
CITROEN,C4,C4,ESSENCE,1199,1299,0.368,0.03,0.032,,32250,0.368,0.75,1.1179999999999999
FORD,TOURNEO,TOURNEO_CONNECT,GAZOLE,1499,1589,0.045,0.005,0.03,0.034,26495,0.045,0.125,0.16999999999999998
B.M.W.,SERIE_4,420,ELEC+GAZOLE_HR,1995,1605,0.086,0.018000000000000002,0.017,0.035,55650,0.086,0.45000000000000007,0.536
B.M.W.,SERIE_2,220,ESSENCE,1998,1430,0.156,0.017,0.011,,44133,0.156,0.42500000000000004,0.5810000000000001
SKODA,KAMIQ,KAMIQ,ESSENCE,999,1185,0.153,0.023,0.043,,29620,0.153,0.575,0.728
SKODA,KAROQ,KAROQ,GAZOLE,1968,1417,0.025,0.023,0.036,0.059,39098,0.025,0.575,0.6
MINI,MINI,CABRIO,ESSENCE,1998,1325,0.188,0.016,0.009,,41233,0.188,0.4,0.5880000000000001
SKODA,KAMIQ,KAMIQ,ESSENCE,999,1152,0.23,0.026,0.034,,24607,0.23,0.65,0.88
PORSCHE,CAYENNE_TURBO_GT,CAYENNE,ESSENCE,3996,2220,0.221,0.019,0.014,,208815,0.221,0.475,0.696
RENAULT,KANGOO,KANGOO,ESSENCE,1332,1475,0.291,0.012,0.011,,28900,0.291,0.3,0.591
MINI,MINI,COUNTRYMAN,ESSENCE,1499,1390,0.136,0.016,0.008,,32880,0.136,0.4,0.536
B.M.W.,SERIE_1,118,GAZOLE,1995,1430,0.171,0.049,0.013,0.062,40410,0.171,1.225,1.3960000000000001
MERCEDES,CLASSE_C,C_220,ELEC+GAZOLE_HR,1993,1655,0.063,0.007,0.007,0.014,58383,0.063,0.17500000000000002,0.23800000000000002
MERCEDES,CLASSE_T,CLASSE_T,GAZOLE,1461,1603,0.149,0.054,0.03,0.084,35632,0.149,1.35,1.499
FIAT,500X,500X,ESSENCE,1332,1320,0.291,0.033,0.012,,31413,0.291,0.8250000000000001,1.116
B.M.W.,SERIE_4,420,ELEC+GAZOLE_HR,1995,1670,0.087,0.027999999999999997,0.017,0.045,58050,0.087,0.7,0.7869999999999999
FORD,FOCUS,FOCUS,ESS+ELEC_HNR,999,1376,0.337,0.043,0.018,,34950,0.337,1.075,1.412
B.M.W.,SERIE_2,220,ESSENCE,1998,1490,0.226,0.024,0.013,,45650,0.226,0.6,0.826
