Marque,Libelle_modele,Modele,Energie,Cylindree,Poids_a_vide,Essai_CO2_type_1,Essai_HC,Essai_Nox,Essai_HCNox,Prix_vehicule,PGR_CO2,PGR_HC,PGR_cumul
NISSAN,QASHQAI,QASHQAI,ESS+ELEC_HNR,1332,1375,0.292,0.017,0.02,,39315,0.292,0.42500000000000004,0.7170000000000001
DS,DS_4,4,ESSENCE,1598,1420,0.519,0.021,0.034,,42233,0.519,0.525,1.044
SKODA,FABIA,FABIA,ESSENCE,1498,1149,0.172,0.021,0.019,,26420,0.172,0.525,0.6970000000000001
MINI,MINI,COUNTRYMAN,GAZOLE,1995,1475,0.161,0.044,0.016,0.06,39238,0.161,1.0999999999999999,1.261
KIA,PICANTO,PICANTO,ESSENCE,998,903,0.371,0.02,0.011,,14810,0.371,0.5,0.871
MERCEDES,CLASSE_C,C_220,ELEC+GAZOLE_HR,1993,1765,0.055,0.008,0.006,0.014,58850,0.055,0.2,0.255
B.M.W.,SERIE_2,218,ESSENCE,1499,1375,0.273,0.023,0.015,,37850,0.273,0.575,0.848
MERCEDES,CLASSE_A,A_180,ESSENCE,1332,1305,0.101,0.027,0.031,,42233,0.101,0.675,0.776
B.M.W.,SERIE_X,X4,ESS+ELEC_HNR,2998,1920,0.109,0.015,0.013,,80750,0.109,0.375,0.484
MERCEDES,CLASSE_B,B_180,ESSENCE,1332,1310,0.111,0.023,0.027,,37225,0.111,0.575,0.6859999999999999
KIA,NIRO,NIRO,ESS+ELEC_HNR,1580,1415,0.16,0.023,0.003,,34850,0.16,0.575,0.735
B.M.W.,SERIE_1,116,ESSENCE,1499,1340,0.072,0.014,0.008,,36260,0.072,0.35000000000000003,0.42200000000000004
B.M.W.,M4,M4,ESSENCE,2993,1775,0.177,0.008,0.018,,104550,0.177,0.2,0.377
MASERATI,GHIBLI_MODENA_S_Q4,GHIBLI,ESSENCE,2979,1935,0.33,0.025,0.019,,104650,0.33,0.625,0.9550000000000001
MERCEDES,CLASSE_E,E_400,GAZOLE,2925,1845,0.033,0.018999999999999996,0.033,0.052,82425,0.033,0.4749999999999999,0.5079999999999999
VOLKSWAGEN,GOLF,GOLF,GAZOLE,1968,1366,0.028,0.008999999999999998,0.028,0.037,35558,0.028,0.22499999999999995,0.25299999999999995
MERCEDES,CLASSE_S,S_580,ELEC+ESSENC_HR,2999,2365,0.221,0.012,0.005,,82525,0.221,0.3,0.521
VOLKSWAGEN,ARTEON,ARTEON,GAZOLE,1968,1658,0.021,0.011000000000000003,0.038,0.049,62440,0.021,0.2750000000000001,0.2960000000000001
KIA,STONIC,STONIC,ESS+ELEC_HNR,998,1150,0.079,0.016,0.025,,25270,0.079,0.4,0.47900000000000004
B.M.W.,SERIE_5,530,ELEC+ESSENC_HR,1998,1960,0.311,0.01,0.011,,70838,0.311,0.25,0.5609999999999999
HYUNDAI,I_30,I_30,ESS+ELEC_HNR,998,1309,0.214,0.027,0.049,,29020,0.214,0.675,0.889
SKODA,KAMIQ,KAMIQ,ESSENCE,1498,1195,0.183,0.024,0.015,,27790,0.183,0.6,0.7829999999999999
RENAULT,SCENIC,SCENIC,ESSENCE,1332,1528,0.261,0.011,0.018,,38700,0.261,0.27499999999999997,0.536
JAGUAR,XF,XF,ELEC+GAZOLE_HR,1998,1834,0.071,0.015,0.017,0.031,67690,0.071,0.375,0.446
VOLKSWAGEN,CADDY,CADDY,GAZOLE,1968,1646,0.023,0.020999999999999998,0.038,0.059,40483,0.023,0.5249999999999999,0.5479999999999999
MINI,MINI,MINI,ESSENCE,1499,1230,0.2,0.019,0.01,,33325,0.2,0.475,0.675
VOLKSWAGEN,TIGUAN,TIGUAN,GAZOLE,1968,1556,0.026,0.009999999999999998,0.029,0.039,48739,0.026,0.24999999999999997,0.27599999999999997
B.M.W.,SERIE_X,X3,ELEC+GAZOLE_HR,2993,2005,0.122,0.013999999999999999,0.038,0.052,78000,0.122,0.35,0.472
FORD,FIESTA,FIESTA,SUPERETHANOL,999,1114,0.393,0.037,0.011,,23090,0.393,0.9249999999999999,1.318
OPEL,GRANDLAND_X,GRANDLAND_X,GAZOLE,1499,1400,0.052,0.003999999999999997,0.041,0.045,34038,0.052,0.09999999999999992,0.1519999999999999
ALPINE,A110,A110,ESSENCE,1798,1102,0.229,0.011,0.011,,60500,0.229,0.27499999999999997,0.504
B.M.W.,SERIE_X,X2,ESSENCE,1499,1410,0.267,0.025,0.014,,40217,0.267,0.625,0.892
PEUGEOT,3008,3008,GAZOLE,1499,1429,0.052,0.003999999999999997,0.041,0.045,37390,0.052,0.09999999999999992,0.1519999999999999
B.M.W.,SERIE_X,X3,ESS+ELEC_HNR,1998,1800,0.157,0.013,0.017,,54800,0.157,0.325,0.482
MINI,MINI,MINI,ESSENCE,1998,1225,0.188,0.016,0.009,,36800,0.188,0.4,0.5880000000000001
MERCEDES,CLASSE_V,V_250,GAZOLE,1950,2067,0.116,0.015,0.022,0.037,78399,0.116,0.375,0.491
VOLKSWAGEN,KOMBI,KOMBI,GAZOLE,1968,1824,0.026,0.017999999999999995,0.042,0.06,42000,0.026,0.4499999999999999,0.4759999999999999
NISSAN,QASHQAI,QASHQAI,ESS+ELEC_HNR,1332,1457,0.312,0.015,0.024,,42920,0.312,0.375,0.687
MERCEDES,CLASSE_C,C_220,ELEC+GAZOLE_HR,1993,1715,0.063,0.007,0.007,0.014,56383,0.063,0.17500000000000002,0.23800000000000002
TOYOTA,YARIS,YARIS,ESS+ELEC_HNR,1490,1090,0.149,0.025,0.01,,26900,0.149,0.625,0.774
B.M.W.,SERIE_1,118,ESSENCE,1499,1320,0.273,0.023,0.015,,37510,0.273,0.575,0.848
MERCEDES,CLASSE_GLE,GLE_300,ELEC+GAZOLE_HR,1993,2205,0.049,0.007999999999999998,0.01,0.018,86350,0.049,0.19999999999999996,0.24899999999999994
HONDA,CR_V,CR_V,ESS+ELEC_HNR,1993,1610,0.088,0.007,0.009,,42907,0.088,0.17500000000000002,0.263
ALFA_ROMEO,STELVIO,STELVIO,GAZOLE,2143,1745,0.04,0.0040000000000000036,0.044,0.048,64717,0.04,0.10000000000000009,0.1400000000000001
DS,DS_9,9,ESSENCE,1598,1540,0.378,0.019,0.024,,52700,0.378,0.475,0.853
ALFA_ROMEO,STELVIO,STELVIO,GAZOLE,2143,1680,0.044,0.0049999999999999975,0.035,0.04,52783,0.044,0.12499999999999994,0.16899999999999993
KIA,STONIC,STONIC,ESS+ELEC_HNR,998,1150,0.079,0.016,0.025,,25270,0.079,0.4,0.47900000000000004
MINI,MINI,MINI,ESSENCE,1499,1175,0.2,0.019,0.01,,32367,0.2,0.475,0.675
CITROEN,JUMPY_SPACE_TOURER,SPACE_TOURER,GAZOLE,1499,1659,0.072,0.0049999999999999975,0.05,0.055,33350,0.072,0.12499999999999994,0.19699999999999995
OPEL,INSIGNIA_SPORTS_TOURER,INSIGNIA,GAZOLE,1995,1540,0.049,0.013,0.014,0.027,44925,0.049,0.325,0.374
B.M.W.,SERIE_4,440,ESS+ELEC_HNR,2998,1740,0.087,0.013,0.009,,70650,0.087,0.325,0.41200000000000003
B.M.W.,SERIE_3,320,ELEC+GAZOLE_HR,1995,1665,0.047,0.016999999999999998,0.02,0.037,54300,0.047,0.42499999999999993,0.4719999999999999
DACIA,SANDERO,SANDERO,ESS+G.P.L.,999,1134,0.38,0.037,0.025,,15350,0.38,0.9249999999999999,1.305
DACIA,SANDERO,SANDERO,ESS+G.P.L.,999,1134,0.444,0.026,0.033,,15350,0.444,0.65,1.094
B.M.W.,SERIE_X,X1,GAZOLE,1995,1575,0.03,0.006000000000000002,0.026,0.032,44763,0.03,0.15000000000000005,0.18000000000000005
B.M.W.,SERIE_X,X6,ESSENCE,4395,2240,0.213,0.016,0.012,,101800,0.213,0.4,0.613
SEAT,LEON,LEON,ESSENCE,999,1216,0.126,0.02,0.036,,25648,0.126,0.5,0.626
PEUGEOT,2008,2008,GAZOLE,1499,1270,0.05,0.0050000000000000044,0.053,0.058,33203,0.05,0.1250000000000001,0.1750000000000001
FORD,FIESTA,FIESTA,SUPERETHANOL,999,1114,0.393,0.036,0.01,,21340,0.393,0.8999999999999999,1.293
PEUGEOT,308,308,ESSENCE,1199,1254,0.27,0.027,0.046,,26400,0.27,0.675,0.9450000000000001
B.M.W.,SERIE_1,118,ESSENCE,1499,1290,0.291,0.024,0.018,,35210,0.291,0.6,0.891
B.M.W.,SERIE_1,118,ESSENCE,1499,1320,0.273,0.023,0.015,,37510,0.273,0.575,0.848
MINI,MINI,CLUBMAN,ESSENCE,1998,1415,0.187,0.02,0.009,,41400,0.187,0.5,0.687
VOLVO,XC60,XC60,ELEC+ESSENC_HR,1969,2075,0.243,0.008,0.008,,85355,0.243,0.2,0.443
NISSAN,QASHQAI,QASHQAI,ESS+ELEC_HNR,1332,1457,0.312,0.015,0.024,,42920,0.312,0.375,0.687
B.M.W.,SERIE_5,530,ELEC+ESSENC_HR,1998,1960,0.311,0.01,0.011,,70838,0.311,0.25,0.5609999999999999
LAND_ROVER,DISCOVERY,DISCOVERY,ELEC+GAZOLE_HR,2997,2442,0.22,0.045,0.021,0.066,93000,0.22,1.125,1.345
B.M.W.,SERIE_1,120,GAZOLE,1995,1515,0.071,0.037000000000000005,0.021,0.058,46988,0.071,0.9250000000000002,0.9960000000000001
B.M.W.,SERIE_2,218,GAZOLE,1995,1545,0.043,0.005999999999999998,0.025,0.031,38888,0.043,0.14999999999999997,0.19299999999999995
PORSCHE,CAYENNE_E_HYBRID,CAYENNE,ELEC+ESSENC_HR,2995,2360,0.389,0.021,0.021,,105929,0.389,0.525,0.914
KIA,PICANTO,PICANTO,ESSENCE,1197,909,0.24,0.029,0.021,,18073,0.24,0.7250000000000001,0.9650000000000001
MERCEDES,CLASSE_B,B_160,ESSENCE,1332,1310,0.108,0.022,0.023,,33725,0.108,0.5499999999999999,0.6579999999999999
CITROEN,JUMPY_SPACE_TOURER,SPACE_TOURER,GAZOLE,1499,1659,0.072,0.0049999999999999975,0.05,0.055,34350,0.072,0.12499999999999994,0.19699999999999995
B.M.W.,SERIE_4,420,ELEC+GAZOLE_HR,1995,1775,0.089,0.022000000000000002,0.018,0.04,62650,0.089,0.55,0.639
B.M.W.,SERIE_2,220,ESS+ELEC_HNR,1499,1520,0.181,0.009,0.015,,38638,0.181,0.22499999999999998,0.40599999999999997
SEAT,ATECA,ATECA,ESSENCE,1498,1343,0.124,0.013,0.008,,36991,0.124,0.325,0.449
ALFA_ROMEO,STELVIO_QUADRIFOGLIO,STELVIO,ESSENCE,2891,1830,0.339,0.023,0.012,,111450,0.339,0.575,0.9139999999999999
NISSAN,QASHQAI,QASHQAI,ESS+ELEC_HNR,1332,1329,0.314,0.012,0.017,,34540,0.314,0.3,0.614
B.M.W.,SERIE_X,X2,GAZOLE,1995,1510,0.192,0.061000000000000006,0.024,0.085,43367,0.192,1.5250000000000001,1.717
MINI,MINI,COUNTRYMAN,ESSENCE,1499,1390,0.136,0.016,0.008,,32880,0.136,0.4,0.536
FORD,TOURNEO_CUSTOM,TOURNEO_CUSTOM,GAZOLE,1995,2255,0.117,0.014,0.049,0.065,48288,0.117,0.35000000000000003,0.467
MINI,MINI,MINI,ESSENCE,1998,1225,0.188,0.016,0.009,,36800,0.188,0.4,0.5880000000000001
MERCEDES,CLASSE_V,V_220,GAZOLE,1950,2067,0.019,0.006999999999999999,0.019,0.026,75234,0.019,0.175,0.19399999999999998
KIA,STONIC,STONIC,ESS+ELEC_HNR,998,1185,0.089,0.024,0.018,,26470,0.089,0.6,0.689
FIAT,TIPO,TIPO,ESS+ELEC_HNR,1469,1350,0.322,0.034,0.01,,28565,0.322,0.8500000000000001,1.1720000000000002
MINI,MINI,MINI,ESSENCE,1499,1150,0.288,0.018,0.012,,28857,0.288,0.44999999999999996,0.738
VOLVO,V60,V60,ELEC+ESSENC_HR,1969,1989,0.283,0.007,0.007,,69600,0.283,0.17500000000000002,0.45799999999999996
B.M.W.,SERIE_2,220,ESSENCE,1998,1490,0.226,0.024,0.013,,45650,0.226,0.6,0.826
RENAULT,TRAFIC,TRAFIC,GAZOLE,1997,2262,0.016,0.008,0.03,0.038,47700,0.016,0.2,0.21600000000000003
TOYOTA,YARIS_CROSS,YARIS_CROSS,ESS+ELEC_HNR,1490,1175,0.157,0.016,0.007,,29600,0.157,0.4,0.557
B.M.W.,SERIE_X,X2,GAZOLE,1995,1605,0.071,0.036000000000000004,0.02,0.056,50717,0.071,0.9000000000000001,0.9710000000000001
B.M.W.,M3,M3,ESSENCE,2993,1780,0.177,0.008,0.018,,102000,0.177,0.2,0.377
VOLKSWAGEN,TIGUAN,TIGUAN,GAZOLE,1968,1679,0.026,0.009999999999999998,0.029,0.039,52000,0.026,0.24999999999999997,0.27599999999999997
FORD,TOURNEO,TOURNEO_CONNECT,ESSENCE,999,1649,0.632,0.047,0.016,,26055,0.632,1.175,1.807
MINI,MINI,COUNTRYMAN,ESSENCE,1998,1465,0.17,0.022,0.017,,40388,0.17,0.5499999999999999,0.72
KIA,NIRO,NIRO,ELEC+ESSENC_HR,1580,1519,0.037,0.008,0.006,,42050,0.037,0.2,0.23700000000000002
B.M.W.,SERIE_4,420,ELEC+GAZOLE_HR,1995,1605,0.086,0.018000000000000002,0.017,0.035,55650,0.086,0.45000000000000007,0.536
VOLKSWAGEN,PASSAT,PASSAT,GAZOLE,1968,1598,0.021,0.011000000000000003,0.038,0.049,58617,0.021,0.2750000000000001,0.2960000000000001
FORD,FIESTA,FIESTA,SUPERETHANOL,999,1114,0.393,0.036,0.01,,23090,0.393,0.8999999999999999,1.293
B.M.W.,SERIE_2,218,ESSENCE,1499,1375,0.273,0.023,0.015,,40663,0.273,0.575,0.848
PEUGEOT,3008,3008,ELEC+ESSENC_HR,1598,1833,0.237,0.013,0.005,,53150,0.237,0.325,0.562
FIAT,500_ABARTH,500,ESSENCE,1368,1075,0.576,0.024,0.018,,24523,0.576,0.6,1.176
VOLKSWAGEN,TOURAN,TOURAN,ESSENCE,1498,1498,0.144,0.015,0.01,,41845,0.144,0.375,0.519
FIAT,500X,500X,ESSENCE,999,1320,0.423,0.023,0.016,,24990,0.423,0.575,0.998
B.M.W.,SERIE_X,X2,ESSENCE,1998,1470,0.159,0.021,0.013,,46817,0.159,0.525,0.684
MERCEDES,CLASSE_V,V_250,GAZOLE,1950,2067,0.116,0.015,0.022,0.037,74793,0.116,0.375,0.491
MERCEDES,VITO_TOURER,VITO,GAZOLE,1950,2015,0.211,0.018,0.027,0.045,50523,0.211,0.44999999999999996,0.6609999999999999
VOLKSWAGEN,PASSAT,PASSAT,GAZOLE,1968,1634,0.021,0.011000000000000003,0.038,0.049,58617,0.021,0.2750000000000001,0.2960000000000001
CUPRA,FORMENTOR,FORMENTOR,GAZOLE,1968,1552,0.025,0.005,0.029,0.032,44453,0.025,0.125,0.15
RENAULT,TWINGO,TWINGO,ESSENCE,999,909,0.225,0.018,0.022,,16900,0.225,0.44999999999999996,0.6749999999999999
PEUGEOT,508,508,ELEC+ESSENC_HR,1598,1745,0.599,0.018,0.017,,49833,0.599,0.44999999999999996,1.049
B.M.W.,SERIE_4,430,ELEC+GAZOLE_HR,2993,1780,0.123,0.013999999999999999,0.041,0.055,62850,0.123,0.35,0.473
SKODA,OCTAVIA,OCTAVIA,GAZOLE,1968,1425,0.026,0.008999999999999998,0.028,0.037,37710,0.026,0.22499999999999995,0.25099999999999995
DS,DS_7_CROSSBACK,7_CROSSBACK,ESSENCE,1598,1428,0.59,0.023,0.031,,49207,0.59,0.575,1.165
MERCEDES,CLASSE_GLE,GLE_63_AMG,ESS+ELEC_HNR,3982,2345,0.422,0.021,0.019,,150200,0.422,0.525,0.9470000000000001
B.M.W.,M4,M4,ESSENCE,2993,1775,0.177,0.008,0.018,,104550,0.177,0.2,0.377
B.M.W.,SERIE_4,420,ESSENCE,1998,1525,0.355,0.027,0.014,,53100,0.355,0.675,1.03
B.M.W.,SERIE_2,220,ESSENCE,1998,1490,0.226,0.024,0.013,,45650,0.226,0.6,0.826
B.M.W.,SERIE_2,218,GAZOLE,1995,1425,0.185,0.052,0.025,0.077,39850,0.185,1.3,1.485
SUZUKI,SX4,SX4,ESS+ELEC_HNR,1373,1285,0.381,0.037,0.021,,32290,0.381,0.9249999999999999,1.306
RENAULT,MEGANE,MEGANE,ESSENCE,1332,1214,0.183,0.013,0.01,,29775,0.183,0.325,0.508
FIAT,PANDA,PANDA,ESS+ELEC_HNR,999,1005,0.281,0.031,0.048,,14790,0.281,0.775,1.056
SKODA,OCTAVIA_RS,OCTAVIA,ESSENCE,1984,1468,0.182,0.021,0.02,,43810,0.182,0.525,0.7070000000000001
LAND_ROVER,RANGE_ROVER_EVOQUE,RANGE_ROVER_EVOQUE,ELEC+GAZOLE_HR,1998,1917,0.121,0.016999999999999994,0.035,0.052,39750,0.121,0.4249999999999999,0.5459999999999998
JAGUAR,XE,XE,ELEC+GAZOLE_HR,1998,1679,0.071,0.015,0.017,0.031,57673,0.071,0.375,0.446
B.M.W.,SERIE_5,530,ELEC+ESSENC_HR,1998,1960,0.311,0.01,0.011,,70838,0.311,0.25,0.5609999999999999
VOLKSWAGEN,POLO,POLO,ESSENCE,999,1093,0.226,0.032,0.041,,23613,0.226,0.8,1.026
MINI,MINI,CABRIO,ESSENCE,1499,1265,0.094,0.011,0.006,,29100,0.094,0.27499999999999997,0.369
FORD,PUMA,PUMA,ESSENCE,1496,1283,0.416,0.015,0.007,,36400,0.416,0.375,0.7909999999999999
SKODA,SCALA,SCALA,ESSENCE,1498,1203,0.156,0.021,0.019,,31315,0.156,0.525,0.681
MERCEDES,CLASSE_V,V_220,GAZOLE,1950,2092,0.019,0.006999999999999999,0.019,0.026,67675,0.019,0.175,0.19399999999999998
PEUGEOT,408,408,ESSENCE,1199,1393,0.392,0.021,0.04,,30500,0.392,0.525,0.917
B.M.W.,SERIE_X,X1,ESSENCE,1499,1500,0.075,0.009,0.008,,42463,0.075,0.22499999999999998,0.3
MINI,MINI,CLUBMAN,ESSENCE,1499,1335,0.217,0.021,0.015,,34014,0.217,0.525,0.742
B.M.W.,SERIE_X,X6,ELEC+GAZOLE_HR,2993,2185,0.141,0.018000000000000002,0.045,0.063,84025,0.141,0.45000000000000007,0.5910000000000001
B.M.W.,SERIE_1,118,GAZOLE,1995,1430,0.171,0.049,0.013,0.062,40410,0.171,1.225,1.3960000000000001
B.M.W.,SERIE_X,X3,ESS+ELEC_HNR,1998,1800,0.157,0.013,0.017,,54800,0.157,0.325,0.482
B.M.W.,SERIE_X,X3,ELEC+GAZOLE_HR,1995,1810,0.159,0.038,0.023,0.061,55100,0.159,0.95,1.109
MINI,MINI,CABRIO,ESSENCE,1998,1375,0.234,0.016,0.008,,44900,0.234,0.4,0.634
JEEP,RENEGADE,RENEGADE,ESS+ELEC_HNR,1469,1420,0.381,0.063,0.018,,33438,0.381,1.575,1.956
VOLVO,XC60,XC60,ELEC+ESSENC_HR,1969,2094,0.645,0.006,0.006,,76310,0.645,0.15,0.795
MERCEDES,VITO_TOURER,VITO,GAZOLE,1950,1947,0.019,0.006999999999999999,0.019,0.026,46050,0.019,0.175,0.19399999999999998
B.M.W.,SERIE_X,X6,ELEC+GAZOLE_HR,2993,2185,0.141,0.018000000000000002,0.045,0.063,84025,0.141,0.45000000000000007,0.5910000000000001
B.M.W.,SERIE_5,530,ELEC+GAZOLE_HR,2993,1925,0.112,0.020999999999999998,0.052,0.073,72588,0.112,0.5249999999999999,0.6369999999999999
MERCEDES,CLASSE_A,A_250,ELEC+ESSENC_HR,1332,1600,0.096,0.016,0.013,,47875,0.096,0.4,0.496
MERCEDES,CLASSE_A,A_180,ESSENCE,1332,1290,0.111,0.023,0.027,,39983,0.111,0.575,0.6859999999999999
SKODA,KAROQ,KAROQ,ESSENCE,1498,1335,0.115,0.013,0.018,,33965,0.115,0.325,0.44
MINI,MINI,MINI,ESSENCE,1499,1230,0.2,0.019,0.01,,33325,0.2,0.475,0.675
MERCEDES,CLASSE_GLE,GLE_300,ELEC+GAZOLE_HR,1993,2205,0.04,0.01,0.01,0.02,86350,0.04,0.25,0.29
RENAULT,CLIO,CLIO,ESS+ELEC_HNR,1598,1266,0.416,0.023,0.005,,25133,0.416,0.575,0.9909999999999999
PEUGEOT,308,308,ESSENCE,1199,1345,0.302,0.022,0.041,,34280,0.302,0.5499999999999999,0.8519999999999999
B.M.W.,SERIE_5,520,ELEC+GAZOLE_HR,1995,1840,0.1,0.029,0.019,0.048,63713,0.1,0.7250000000000001,0.8250000000000001
NISSAN,QASHQAI,QASHQAI,ESS+ELEC_HNR,1332,1329,0.314,0.012,0.017,,34540,0.314,0.3,0.614
MAZDA,MAZDA_CX_30,CX_30,ESS+ELEC_HNR,1998,1406,0.152,0.013,0.01,,33450,0.152,0.325,0.477
SKODA,OCTAVIA,OCTAVIA,GAZOLE,1968,1403,0.026,0.008999999999999998,0.028,0.037,37710,0.026,0.22499999999999995,0.25099999999999995
VOLVO,XC60,XC60,ELEC+ESSENC_HR,1969,2075,0.243,0.008,0.008,,85355,0.243,0.2,0.443
MINI,MINI,MINI,ESSENCE,1998,1275,0.227,0.016,0.01,,40700,0.227,0.4,0.627
VOLKSWAGEN,CADDY,CADDY,ESSENCE,1498,1497,0.212,0.028,0.029,,34573,0.212,0.7000000000000001,0.912
NISSAN,QASHQAI,QASHQAI,ESS+ELEC_HNR,1332,1375,0.292,0.017,0.02,,39315,0.292,0.42500000000000004,0.7170000000000001
VOLVO,XC40,XC40,ESS+ELEC_HNR,1969,1660,0.348,0.014,0.012,,56350,0.348,0.35000000000000003,0.698
PORSCHE,911_TARGA_4S,911,ESSENCE,2981,1675,0.13,0.014,0.013,,153576,0.13,0.35000000000000003,0.48000000000000004
RENAULT,TRAFIC,TRAFIC,GAZOLE,1997,2010,0.04,0.006999999999999999,0.038,0.045,42550,0.04,0.175,0.215
B.M.W.,SERIE_2,218,GAZOLE,1995,1470,0.178,0.053000000000000005,0.013,0.066,43563,0.178,1.3250000000000002,1.5030000000000001
JEEP,RENEGADE,RENEGADE,ESS+ELEC_HNR,1469,1420,0.381,0.063,0.018,,33438,0.381,1.575,1.956
SKODA,KAROQ,KAROQ,ESSENCE,1498,1342,0.132,0.023,0.025,,37898,0.132,0.575,0.707
B.M.W.,SERIE_1,118,GAZOLE,1995,1430,0.171,0.049,0.013,0.062,40410,0.171,1.225,1.3960000000000001
DACIA,SANDERO,SANDERO,ESSENCE,999,1072,0.317,0.04,0.027,,14400,0.317,1.0,1.317
SKODA,KODIAQ,KODIAQ,ESSENCE,1498,1495,0.206,0.028,0.027,,36460,0.206,0.7000000000000001,0.906
MERCEDES,CLASSE_C,C_220,ELEC+GAZOLE_HR,1993,1705,0.055,0.008,0.006,0.014,60783,0.055,0.2,0.255
RENAULT,KANGOO,KANGOO,GAZOLE,1461,1577,0.158,0.042,0.035,0.077,28050,0.158,1.05,1.208
SKODA,SCALA,SCALA,ESSENCE,999,1176,0.169,0.025,0.035,,29705,0.169,0.625,0.794
SKODA,OCTAVIA,OCTAVIA,ESSENCE,1498,1290,0.21,0.023,0.016,,30465,0.21,0.575,0.7849999999999999
PEUGEOT,208,208,ESSENCE,1199,1090,0.383,0.027,0.028,,26013,0.383,0.675,1.058
SKODA,KODIAQ,KODIAQ,ESSENCE,1498,1537,0.206,0.028,0.027,,37620,0.206,0.7000000000000001,0.906
DACIA,SANDERO,SANDERO,ESS+G.P.L.,999,1106,0.431,0.038,0.024,,13650,0.431,0.95,1.381
DACIA,SANDERO,SANDERO,ESS+G.P.L.,999,1106,0.434,0.023,0.032,,13650,0.434,0.575,1.009
B.M.W.,SERIE_1,120,GAZOLE,1995,1515,0.071,0.037000000000000005,0.021,0.058,46988,0.071,0.9250000000000002,0.9960000000000001
B.M.W.,SERIE_5,520,ESS+ELEC_HNR,1998,1715,0.111,0.012,0.022,,60063,0.111,0.3,0.411
B.M.W.,SERIE_2,240,ESSENCE,2998,1690,0.143,0.022,0.009,,61550,0.143,0.5499999999999999,0.693
B.M.W.,SERIE_X,X3,ESS+ELEC_HNR,1998,1800,0.157,0.013,0.017,,54800,0.157,0.325,0.482
B.M.W.,SERIE_1,118,GAZOLE,1995,1430,0.171,0.049,0.013,0.062,40410,0.171,1.225,1.3960000000000001
MERCEDES,CLASSE_B,B_250,ELEC+ESSENC_HR,1332,1645,0.096,0.016,0.013,,49933,0.096,0.4,0.496
B.M.W.,SERIE_X,X2,GAZOLE,1995,1510,0.192,0.061000000000000006,0.024,0.085,43367,0.192,1.5250000000000001,1.717
SKODA,OCTAVIA,OCTAVIA,ESSENCE,1498,1281,0.21,0.023,0.016,,31545,0.21,0.575,0.7849999999999999
CUPRA,FORMENTOR,FORMENTOR,ESSENCE,1984,1551,0.398,0.036,0.012,,50250,0.398,0.8999999999999999,1.298
B.M.W.,SERIE_X,X4,ELEC+GAZOLE_HR,2993,2020,0.122,0.013999999999999999,0.038,0.052,79750,0.122,0.35,0.472
PORSCHE,CAYENNE_E_HYBRID,CAYENNE,ELEC+ESSENC_HR,2995,2295,0.389,0.021,0.021,,103699,0.389,0.525,0.914
MERCEDES,CLASSE_A,A_200,ESSENCE,1332,1300,0.12,0.024,0.025,,39475,0.12,0.6,0.72
SKODA,KAMIQ,KAMIQ,ESSENCE,1498,1214,0.144,0.022,0.022,,30194,0.144,0.5499999999999999,0.694
RENAULT,CAPTUR,CAPTUR,ESS+ELEC_HNR,1332,1298,0.473,0.012,0.028,,27325,0.473,0.3,0.7729999999999999
B.M.W.,SERIE_1,118,ESSENCE,1499,1290,0.291,0.024,0.018,,35210,0.291,0.6,0.891
MERCEDES,CLASSE_C,C_220,ELEC+GAZOLE_HR,1993,1655,0.063,0.007,0.007,0.014,58383,0.063,0.17500000000000002,0.23800000000000002
RENAULT,SCENIC,SCENIC,ESSENCE,1332,1427,0.312,0.011,0.014,,33900,0.312,0.27499999999999997,0.587
B.M.W.,SERIE_5,520,ESS+ELEC_HNR,1998,1715,0.111,0.012,0.022,,60063,0.111,0.3,0.411
B.M.W.,SERIE_X,X2,ESSENCE,1499,1430,0.312,0.031,0.016,,42317,0.312,0.775,1.087
PORSCHE,MACAN_T,MACAN,ESSENCE,1984,1865,0.341,0.014,0.012,,72831,0.341,0.35000000000000003,0.6910000000000001
SUZUKI,SWIFT,SWIFT,ESS+ELEC_HNR,1197,975,0.494,0.049,0.01,,20070,0.494,1.225,1.719
FORD,TOURNEO_CUSTOM,TOURNEO_CUSTOM,GAZOLE,1995,2209,0.117,0.014,0.049,0.065,51095,0.117,0.35000000000000003,0.467
MERCEDES,CLASSE_V,V_300,GAZOLE,1950,2067,0.116,0.015,0.022,0.037,91580,0.116,0.375,0.491
FORD,FOCUS,FOCUS,ESS+ELEC_HNR,999,1312,0.337,0.043,0.018,,35350,0.337,1.075,1.412
B.M.W.,SERIE_4,440,ESS+ELEC_HNR,2998,1825,0.099,0.016,0.01,,71000,0.099,0.4,0.499
PORSCHE,PANAMERA_TURBO_S,PANAMERA,ESSENCE,3996,2095,0.199,0.018,0.015,,193536,0.199,0.44999999999999996,0.649
PEUGEOT,EXPERT_TRAVELLER,TRAVELLER,GAZOLE,1499,1625,0.072,0.0049999999999999975,0.05,0.055,32350,0.072,0.12499999999999994,0.19699999999999995
B.M.W.,SERIE_1,128,ESSENCE,1998,1445,0.102,0.009,0.016,,47600,0.102,0.22499999999999998,0.32699999999999996
FORD,TOURNEO_CUSTOM,TOURNEO_CUSTOM,GAZOLE,1995,2274,0.117,0.014,0.049,0.065,51095,0.117,0.35000000000000003,0.467
B.M.W.,SERIE_2,220,ESS+ELEC_HNR,1499,1520,0.181,0.009,0.015,,38638,0.181,0.22499999999999998,0.40599999999999997
